condition,technique,trial,fired
tetragon_only,T1059,1,0
tetragon_only,T1059,2,1
tetragon_only,T1059,3,1
tetragon_only,T1059,4,1
tetragon_only,T1059,5,1
tetragon_only,T1059,6,1
tetragon_only,T1059,7,1
tetragon_only,T1059,8,1
tetragon_only,T1059,9,1
tetragon_only,T1059,10,1
tetragon_only,T1021,1,0
tetragon_only,T1021,2,0
tetragon_only,T1021,3,0
tetragon_only,T1021,4,0
tetragon_only,T1021,5,0
tetragon_only,T1021,6,0
tetragon_only,T1021,7,0
tetragon_only,T1021,8,0
tetragon_only,T1021,9,0
tetragon_only,T1021,10,0
tetragon_only,T1552,1,0
tetragon_only,T1552,2,0
tetragon_only,T1552,3,0
tetragon_only,T1552,4,0
tetragon_only,T1552,5,0
tetragon_only,T1552,6,0
tetragon_only,T1552,7,0
tetragon_only,T1552,8,0
tetragon_only,T1552,9,0
tetragon_only,T1552,10,0
tetragon_only,T1610,1,1
tetragon_only,T1610,2,1
tetragon_only,T1610,3,1
tetragon_only,T1610,4,1
tetragon_only,T1610,5,1
tetragon_only,T1610,6,1
tetragon_only,T1610,7,1
tetragon_only,T1610,8,1
tetragon_only,T1610,9,1
tetragon_only,T1610,10,1
audit_only,T1059,1,0
audit_only,T1059,2,0
audit_only,T1059,3,0
audit_only,T1059,4,0
audit_only,T1059,5,0
audit_only,T1059,6,0
audit_only,T1059,7,0
audit_only,T1059,8,0
audit_only,T1059,9,0
audit_only,T1059,10,0
audit_only,T1021,1,1
audit_only,T1021,2,1
audit_only,T1021,3,1
audit_only,T1021,4,1
audit_only,T1021,5,1
audit_only,T1021,6,1
audit_only,T1021,7,1
audit_only,T1021,8,1
audit_only,T1021,9,1
audit_only,T1021,10,1
audit_only,T1552,1,1
audit_only,T1552,2,1
audit_only,T1552,3,1
audit_only,T1552,4,1
audit_only,T1552,5,1
audit_only,T1552,6,1
audit_only,T1552,7,1
audit_only,T1552,8,1
audit_only,T1552,9,1
audit_only,T1552,10,1
audit_only,T1610,1,0
audit_only,T1610,2,0
audit_only,T1610,3,0
audit_only,T1610,4,0
audit_only,T1610,5,0
audit_only,T1610,6,0
audit_only,T1610,7,0
audit_only,T1610,8,0
audit_only,T1610,9,0
audit_only,T1610,10,0
fused,T1059,1,0
fused,T1059,2,1
fused,T1059,3,1
fused,T1059,4,1
fused,T1059,5,1
fused,T1059,6,1
fused,T1059,7,1
fused,T1059,8,1
fused,T1059,9,1
fused,T1059,10,1
fused,T1021,1,1
fused,T1021,2,1
fused,T1021,3,1
fused,T1021,4,1
fused,T1021,5,1
fused,T1021,6,1
fused,T1021,7,1
fused,T1021,8,1
fused,T1021,9,1
fused,T1021,10,1
fused,T1552,1,1
fused,T1552,2,1
fused,T1552,3,1
fused,T1552,4,1
fused,T1552,5,1
fused,T1552,6,1
fused,T1552,7,1
fused,T1552,8,1
fused,T1552,9,1
fused,T1552,10,1
fused,T1610,1,1
fused,T1610,2,1
fused,T1610,3,1
fused,T1610,4,1
fused,T1610,5,1
fused,T1610,6,1
fused,T1610,7,1
fused,T1610,8,1
fused,T1610,9,1
fused,T1610,10,1
